Image Path,Conditional Caption,Unconditional Caption
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-01.jpg,a storyboard of a man with a cigarette,a drawing of a man with his hand on his mouth
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-02.jpg,a storyboard of a chess game,a chess game with a hand on the board
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-03.jpg,a storyboard of a person shaking hands with a crowd,a cartoon depicting a person shaking hands with a crowd
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-04.jpg,a storyboard of a man in a conference room,a cartoon drawing of a man giving a presentation
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-05.jpg,a storyboard of a man in a suit and tie,a sketch of a man in a suit and tie
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-06.jpg,a storyboard of a person using a cell phone,a cartoon drawing of a person holding a cell
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-07.jpg,a storyboard of a man driving a car,a drawing of a man in a car
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-08.jpg,a storyboard of a car driving down a street,"a car driving down a street with a sign that says,'i'm '"
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-09.jpg,a storyboard of a person's hand reaching a person's hand,a drawing of a person in a car
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-10.jpg,a storyboard of a woman driving a car,a drawing of a man driving a car
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-12.jpg,a storyboard of a man driving a car,a cartoon of a man in a car talking to another
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-13.jpg,a storyboard of a man in a car,a sketch of a car being serviced by a mechanic
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-14.jpg,a storyboard of a car crashing into a building,a cartoon drawing of a car in a garage
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-15.jpg,a storyboard of a man with a gun,"a drawing of a sign that says,'i'm '"
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-16.jpg,a storyboard of a clock,a drawing of a clock with hands on it
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-17.jpg,a storyboard of a man looking at a number,a man looking at a computer screen with the number thirty
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-19.jpg,a storyboard of a motorcycle and a car,a drawing of a motorcycle and a car
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-20.jpg,a storyboard of a car,a sketch of a car with the word'ohoh'on it
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-21.jpg,a storyboard of a car with a window open,a cartoon drawing of a car with a window open
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-22.jpg,a storyboard of a car driving down a street,a sketch of a car parked in a parking
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-23.jpg,a storyboard of a car driving through a bridge,a drawing of a car driving down a bridge
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-24.jpg,a storyboard of a car waiting at a train station,a drawing of a car in a subway station
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-26.jpg,a storyboard of a man sitting at a desk with a laptop and a camera,a man sitting at a desk with a laptop
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-27.jpg,a storyboard of a man playing chess,a man sitting at a table with chess pieces
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-28.jpg,a storyboard of a car driving down a city street,a drawing of a car driving down a street
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-29.jpg,a storyboard of the nissan concept,a sketch of a car with the hood up
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-30.jpg,a storyboard of a street in the city,a sketch of a street with a car driving down it
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-32.jpg,a storyboard of a man driving a car,a drawing of a man driving a car
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-33.jpg,a storyboard of a car with a sketch of the front bumper,a sketch of a car with the hood up
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-34.jpg,a storyboard of a car crash,a drawing of a car with a broken windshield
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-35.jpg,a storyboard of a man getting into a car,a drawing of a man in a car
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-36.jpg,a storyboard of a woman in a room,a woman in a black and white drawing
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-37.jpg,a storyboard of a man looking at himself,a cartoon of a man looking at himself
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-38.jpg,a storyboard of a group of people in a meeting room,a sketch of a group of people in a meeting room
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-39.jpg,a storyboard of a man sitting at a table with a woman standing behind him,a cartoon drawing of a man sitting at a table
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-40.jpg,a storyboard of a man speaking to a crowd,a cartoon drawing of a man in a conference room
/root/text2storyboard/dataset/commercial_storyboard/NISSAN_QASHQAI/BOARD-NISSAN_QASHQAI-41.jpg,a storyboard of the nissan qx,nissan qx concept sketch
